player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:54:41:951,-7.897574,1.08,61.57104,0,0.6967298,0
,1,05:54:44:050,1.996666,1.08,59.10082,0,0.9210715,0
,1,05:54:46:093,8.560828,1.08,55.20023,0,0.9997569,0
,1,05:54:48:307,8.149189,1.08,44.28819,0,0.9963521,0
,1,05:54:50:239,10.4708,1.08,34.92645,0,0.9892378,0
,1,05:54:52:663,6.633725,1.08,26.25908,0,0.9170001,0
,1,05:54:54:757,1.373579,1.08,18.63151,0,0.9679196,0
,1,05:54:56:642,1.804503,1.08,10.03544,0,0.9997172,0
,1,05:54:58:793,2.107518,1.08,-0.7037814,0,0.9994237,0
,1,05:55:00:715,0.6753276,1.08,-10.07564,0,0.9901567,0
